Wavenumber [cm^-1],BACs [cm^5 molecule^-2] T = 349 K,Sistematic errors [cm^5 molecule^-2]
4535,1.413e-44,1.5e-45
4536,1.398e-44,1.49e-45
4537,1.391e-44,1.49e-45
4538,1.391e-44,1.49e-45
4539,1.388e-44,1.49e-45
4540,1.382e-44,1.49e-45
4541,1.371e-44,1.48e-45
4542,1.362e-44,1.48e-45
4543,1.364e-44,1.48e-45
4544,1.367e-44,1.48e-45
4545,1.354e-44,1.48e-45
4546,1.345e-44,1.48e-45
4547,1.334e-44,1.47e-45
4548,1.338e-44,1.47e-45
4549,1.337e-44,1.47e-45
4550,1.329e-44,1.47e-45
4551,1.322e-44,1.47e-45
4552,1.316e-44,1.47e-45
4553,1.313e-44,1.46e-45
4554,1.311e-44,1.46e-45
4555,1.304e-44,1.46e-45
4556,1.303e-44,1.46e-45
4557,1.301e-44,1.46e-45
4558,1.296e-44,1.46e-45
4559,1.283e-44,1.46e-45
4560,1.27e-44,1.45e-45
4561,1.262e-44,1.45e-45
4562,1.271e-44,1.45e-45
4563,1.276e-44,1.45e-45
4564,1.277e-44,1.45e-45
4565,1.281e-44,1.45e-45
4566,1.274e-44,1.45e-45
4567,1.258e-44,1.45e-45
4568,1.252e-44,1.44e-45
4569,1.252e-44,1.44e-45
4570,1.242e-44,1.44e-45
4571,1.251e-44,1.44e-45
4572,1.257e-44,1.44e-45
4573,1.253e-44,1.44e-45
4574,1.261e-44,1.44e-45
4575,1.245e-44,1.44e-45
4576,1.23e-44,1.44e-45
4577,1.241e-44,1.44e-45
4578,1.236e-44,1.44e-45
4579,1.226e-44,1.43e-45
4580,1.222e-44,1.43e-45
4581,1.219e-44,1.43e-45
4582,1.223e-44,1.43e-45
4583,1.227e-44,1.43e-45
4584,1.216e-44,1.43e-45
4585,1.23e-44,1.43e-45
4586,1.227e-44,1.43e-45
4587,1.218e-44,1.43e-45
4588,1.219e-44,1.43e-45
4589,1.212e-44,1.43e-45
4590,1.218e-44,1.43e-45
4591,1.229e-44,1.43e-45
4592,1.235e-44,1.43e-45
4593,1.222e-44,1.43e-45
4594,1.225e-44,1.43e-45
4595,1.222e-44,1.43e-45
4596,1.223e-44,1.43e-45
4597,1.215e-44,1.43e-45
4598,1.224e-44,1.43e-45
4599,1.236e-44,1.43e-45
4600,1.232e-44,1.43e-45
4601,1.226e-44,1.43e-45
4602,1.244e-44,1.44e-45
4603,1.243e-44,1.44e-45
4604,1.231e-44,1.44e-45
4605,1.238e-44,1.44e-45
4606,1.248e-44,1.44e-45
4607,1.236e-44,1.44e-45
4608,1.226e-44,1.44e-45
4609,1.236e-44,1.44e-45
4610,1.241e-44,1.44e-45
4611,1.254e-44,1.44e-45
4612,1.273e-44,1.45e-45
4613,1.281e-44,1.45e-45
4614,1.273e-44,1.45e-45
4615,1.27e-44,1.45e-45
4616,1.275e-44,1.45e-45
4617,1.277e-44,1.45e-45
4618,1.278e-44,1.45e-45
4619,1.286e-44,1.45e-45
4620,1.291e-44,1.46e-45
4621,1.299e-44,1.46e-45
4622,1.306e-44,1.46e-45
4623,1.307e-44,1.46e-45
4624,1.301e-44,1.46e-45
4625,1.304e-44,1.46e-45
4626,1.316e-44,1.47e-45
4627,1.329e-44,1.47e-45
4628,1.336e-44,1.47e-45
4629,1.342e-44,1.48e-45
4630,1.347e-44,1.48e-45
4631,1.352e-44,1.48e-45
4632,1.354e-44,1.48e-45
4633,1.364e-44,1.48e-45
4634,1.365e-44,1.48e-45
4635,1.361e-44,1.49e-45
4636,1.366e-44,1.49e-45
4637,1.384e-44,1.49e-45
4638,1.386e-44,1.5e-45
4639,1.373e-44,1.5e-45
4640,1.392e-44,1.5e-45
4641,1.404e-44,1.5e-45
4642,1.41e-44,1.51e-45
4643,1.422e-44,1.51e-45
4644,1.424e-44,1.51e-45
4645,1.436e-44,1.52e-45
4646,1.445e-44,1.52e-45
4647,1.46e-44,1.52e-45
4648,1.476e-44,1.53e-45
4649,1.493e-44,1.53e-45
4650,1.491e-44,1.54e-45
4651,1.491e-44,1.54e-45
4652,1.524e-44,1.55e-45
4653,1.539e-44,1.55e-45
4654,1.555e-44,1.56e-45
4655,1.565e-44,1.56e-45
4656,1.578e-44,1.57e-45
4657,1.583e-44,1.57e-45
4658,1.592e-44,1.57e-45
4659,1.597e-44,1.58e-45
4660,1.599e-44,1.58e-45
4661,1.626e-44,1.58e-45
4662,1.628e-44,1.59e-45
4663,1.618e-44,1.59e-45
4664,1.622e-44,1.59e-45
4665,1.646e-44,1.59e-45
4666,1.671e-44,1.6e-45
4667,1.67e-44,1.61e-45
4668,1.678e-44,1.61e-45
4669,1.696e-44,1.61e-45
4670,1.719e-44,1.62e-45
4671,1.739e-44,1.63e-45
4672,1.733e-44,1.63e-45
4673,1.743e-44,1.63e-45
4674,1.756e-44,1.64e-45
4675,1.772e-44,1.64e-45
4676,1.768e-44,1.64e-45
4677,1.794e-44,1.65e-45
4678,1.811e-44,1.65e-45
4679,1.797e-44,1.66e-45
4680,1.81e-44,1.66e-45
4681,1.832e-44,1.67e-45
4682,1.85e-44,1.67e-45
4683,1.867e-44,1.68e-45
4684,1.883e-44,1.68e-45
4685,1.88e-44,1.68e-45
4686,1.905e-44,1.69e-45
4687,1.913e-44,1.69e-45
4688,1.913e-44,1.69e-45
4689,1.934e-44,1.7e-45
4690,1.944e-44,1.7e-45
