temperature,wavenumber,cia_coefficient,uncertainty
241,4340,2.458e-44,1.32e-45
241,4341,2.439e-44,1.32e-45
241,4342,2.419e-44,1.31e-45
241,4343,2.402e-44,1.3e-45
241,4344,2.382e-44,1.3e-45
241,4345,2.367e-44,1.29e-45
241,4346,2.35e-44,1.28e-45
241,4347,2.342e-44,1.28e-45
241,4348,2.326e-44,1.27e-45
241,4349,2.307e-44,1.27e-45
241,4350,2.292e-44,1.26e-45
241,4351,2.27e-44,1.26e-45
241,4352,2.256e-44,1.25e-45
241,4353,2.242e-44,1.24e-45
241,4354,2.229e-44,1.24e-45
241,4355,2.212e-44,1.23e-45
241,4356,2.205e-44,1.23e-45
241,4357,2.188e-44,1.22e-45
241,4358,2.166e-44,1.22e-45
241,4359,2.15e-44,1.21e-45
241,4360,2.139e-44,1.21e-45
241,4361,2.133e-44,1.2e-45
241,4362,2.118e-44,1.2e-45
241,4363,2.102e-44,1.19e-45
241,4364,2.09e-44,1.19e-45
241,4365,2.078e-44,1.18e-45
241,4366,2.065e-44,1.18e-45
241,4367,2.048e-44,1.17e-45
241,4368,2.037e-44,1.17e-45
241,4369,2.024e-44,1.16e-45
241,4370,2.008e-44,1.16e-45
241,4371,1.997e-44,1.15e-45
241,4372,1.987e-44,1.15e-45
241,4373,1.977e-44,1.14e-45
241,4374,1.968e-44,1.14e-45
241,4375,1.956e-44,1.14e-45
241,4376,1.947e-44,1.13e-45
241,4377,1.936e-44,1.13e-45
241,4378,1.918e-44,1.12e-45
241,4379,1.908e-44,1.12e-45
241,4380,1.901e-44,1.12e-45
241,4381,1.889e-44,1.11e-45
241,4382,1.88e-44,1.11e-45
241,4383,1.873e-44,1.11e-45
241,4384,1.86e-44,1.1e-45
241,4385,1.854e-44,1.1e-45
241,4386,1.844e-44,1.09e-45
241,4387,1.831e-44,1.09e-45
241,4388,1.829e-44,1.09e-45
241,4389,1.82e-44,1.09e-45
241,4390,1.809e-44,1.08e-45
241,4391,1.799e-44,1.08e-45
241,4392,1.793e-44,1.08e-45
241,4393,1.787e-44,1.07e-45
241,4394,1.78e-44,1.07e-45
241,4395,1.769e-44,1.07e-45
241,4396,1.761e-44,1.06e-45
241,4397,1.757e-44,1.06e-45
241,4398,1.752e-44,1.06e-45
241,4399,1.742e-44,1.06e-45
241,4400,1.73e-44,1.05e-45
241,4401,1.725e-44,1.05e-45
241,4402,1.721e-44,1.05e-45
241,4403,1.715e-44,1.05e-45
241,4404,1.711e-44,1.04e-45
241,4405,1.701e-44,1.04e-45
241,4406,1.694e-44,1.04e-45
241,4407,1.693e-44,1.04e-45
241,4408,1.688e-44,1.04e-45
241,4409,1.682e-44,1.03e-45
241,4410,1.677e-44,1.03e-45
241,4411,1.672e-44,1.03e-45
241,4412,1.663e-44,1.03e-45
241,4413,1.659e-44,1.03e-45
241,4414,1.655e-44,1.02e-45
241,4415,1.652e-44,1.02e-45
241,4416,1.65e-44,1.02e-45
241,4417,1.648e-44,1.02e-45
241,4418,1.643e-44,1.02e-45
241,4419,1.64e-44,1.02e-45
241,4420,1.634e-44,1.02e-45
241,4421,1.631e-44,1.02e-45
241,4422,1.629e-44,1.01e-45
241,4423,1.631e-44,1.01e-45
241,4424,1.627e-44,1.01e-45
241,4425,1.622e-44,1.01e-45
241,4426,1.619e-44,1.01e-45
241,4427,1.62e-44,1.01e-45
241,4428,1.617e-44,1.01e-45
241,4429,1.62e-44,1.01e-45
241,4430,1.618e-44,1.01e-45
241,4431,1.614e-44,1.01e-45
241,4432,1.611e-44,1.01e-45
241,4433,1.614e-44,1.01e-45
241,4434,1.613e-44,1.01e-45
241,4435,1.613e-44,1.01e-45
241,4436,1.619e-44,1.01e-45
241,4437,1.615e-44,1.01e-45
241,4438,1.614e-44,1.01e-45
241,4439,1.621e-44,1.01e-45
241,4440,1.617e-44,1.01e-45
241,4441,1.615e-44,1.01e-45
241,4442,1.62e-44,1.01e-45
241,4443,1.622e-44,1.01e-45
241,4444,1.622e-44,1.01e-45
241,4445,1.626e-44,1.01e-45
241,4446,1.626e-44,1.02e-45
241,4447,1.633e-44,1.02e-45
241,4448,1.635e-44,1.02e-45
241,4449,1.634e-44,1.02e-45
241,4450,1.642e-44,1.02e-45
241,4451,1.647e-44,1.02e-45
241,4452,1.644e-44,1.02e-45
241,4453,1.65e-44,1.02e-45
241,4454,1.656e-44,1.03e-45
241,4455,1.656e-44,1.03e-45
241,4456,1.662e-44,1.03e-45
241,4457,1.662e-44,1.03e-45
241,4458,1.667e-44,1.03e-45
241,4459,1.672e-44,1.03e-45
241,4460,1.676e-44,1.03e-45
241,4461,1.679e-44,1.04e-45
241,4462,1.682e-44,1.04e-45
241,4463,1.68e-44,1.04e-45
241,4464,1.686e-44,1.04e-45
241,4465,1.695e-44,1.04e-45
241,4466,1.696e-44,1.04e-45
241,4467,1.693e-44,1.04e-45
241,4468,1.695e-44,1.04e-45
241,4469,1.699e-44,1.05e-45
241,4470,1.711e-44,1.05e-45
241,4471,1.716e-44,1.05e-45
241,4472,1.722e-44,1.05e-45
241,4473,1.718e-44,1.05e-45
241,4474,1.721e-44,1.05e-45
241,4475,1.722e-44,1.05e-45
241,4476,1.725e-44,1.06e-45
241,4477,1.732e-44,1.06e-45
241,4478,1.733e-44,1.06e-45
241,4479,1.742e-44,1.06e-45
241,4480,1.752e-44,1.06e-45
241,4481,1.752e-44,1.07e-45
241,4482,1.746e-44,1.06e-45
241,4483,1.747e-44,1.07e-45
241,4484,1.747e-44,1.07e-45
241,4485,1.745e-44,1.07e-45
241,4486,1.745e-44,1.07e-45
241,4487,1.739e-44,1.06e-45
241,4488,1.739e-44,1.06e-45
241,4489,1.739e-44,1.06e-45
241,4490,1.739e-44,1.06e-45
241,4491,1.739e-44,1.06e-45
241,4492,1.739e-44,1.06e-45
241,4493,1.735e-44,1.06e-45
241,4494,1.734e-44,1.06e-45
241,4495,1.724e-44,1.06e-45
241,4496,1.713e-44,1.06e-45
241,4497,1.702e-44,1.05e-45
241,4498,1.707e-44,1.06e-45
241,4499,1.724e-44,1.06e-45
241,4500,1.723e-44,1.06e-45
241,4501,1.719e-44,1.06e-45
241,4502,1.714e-44,1.06e-45
241,4503,1.704e-44,1.06e-45
241,4504,1.701e-44,1.05e-45
241,4505,1.705e-44,1.06e-45
241,4506,1.698e-44,1.05e-45
241,4507,1.688e-44,1.05e-45
241,4508,1.689e-44,1.05e-45
241,4509,1.692e-44,1.05e-45
241,4510,1.693e-44,1.05e-45
241,4511,1.689e-44,1.05e-45
241,4512,1.684e-44,1.05e-45
241,4513,1.678e-44,1.05e-45
241,4514,1.675e-44,1.05e-45
241,4515,1.675e-44,1.04e-45
241,4516,1.669e-44,1.04e-45
241,4517,1.66e-44,1.04e-45
241,4518,1.652e-44,1.04e-45
241,4519,1.648e-44,1.03e-45
241,4520,1.641e-44,1.03e-45
241,4521,1.626e-44,1.03e-45
241,4522,1.619e-44,1.03e-45
241,4523,1.605e-44,1.02e-45
241,4524,1.596e-44,1.02e-45
241,4525,1.591e-44,1.02e-45
241,4526,1.586e-44,1.01e-45
241,4527,1.574e-44,1.01e-45
241,4528,1.562e-44,1e-45
241,4529,1.55e-44,1e-45
241,4530,1.5428e-44,9.98e-46
241,4531,1.5296e-44,9.94e-46
241,4532,1.52e-44,9.91e-46
241,4533,1.5083e-44,9.86e-46
241,4534,1.5037e-44,9.84e-46
241,4535,1.4923e-44,9.8e-46
241,4536,1.4811e-44,9.75e-46
241,4537,1.4672e-44,9.71e-46
241,4538,1.4616e-44,9.69e-46
241,4539,1.4576e-44,9.66e-46
241,4540,1.4397e-44,9.62e-46
241,4541,1.4292e-44,9.58e-46
