temperature,wavenumber,cia_coefficient,uncertainty
296,9123.71,5.46620095718753E-8,2.97577374530719E-10
296,9123.72,5.46762093804084E-8,2.9789473751223E-10
296,9123.73,5.46893715599503E-8,2.97984133486093E-10
296,9123.74,5.46989945613029E-8,2.9789257591677E-10
296,9123.75,5.47067734359446E-8,2.97635078876907E-10
296,9123.76,5.47169573325718E-8,2.97491258118596E-10
296,9123.77,5.47323696263347E-8,2.97316971442409E-10
296,9123.78,5.47503117952771E-8,2.97227028183455E-10
296,9123.79,5.4763242650171E-8,2.97265624992729E-10
296,9123.8,5.47676527521509E-8,2.97168678795635E-10
296,9123.81,5.47683489478376E-8,2.97049139938351E-10
296,9123.82,5.47731730723196E-8,2.96907371739283E-10
296,9123.83,5.47852633034829E-8,2.96784869118263E-10
296,9123.84,5.48022477200008E-8,2.96726855427999E-10
296,9123.85,5.48180835433285E-8,2.96732579791723E-10
296,9123.86,5.48310376239294E-8,2.96804062304361E-10
296,9123.87,5.48431541175838E-8,2.96964307003486E-10
296,9123.88,5.48537366915715E-8,2.97196938697664E-10
296,9123.89,5.48639814589057E-8,2.97513279387801E-10
296,9123.9,5.48716514166715E-8,2.97844962704746E-10
296,9123.91,5.48766686180487E-8,2.98257616059337E-10
296,9123.92,5.48833336902643E-8,2.98648343905222E-10
296,9123.93,5.48932589714135E-8,2.99087765538695E-10
296,9123.94,5.49041937476077E-8,2.99240972028296E-10
296,9123.95,5.491401440052E-8,2.99360909120156E-10
296,9123.96,5.49198822344536E-8,2.99399302978242E-10
296,9123.97,5.49244824669984E-8,2.99810106163236E-10
296,9123.98,5.49301944683045E-8,3.00259166408674E-10
296,9123.99,5.49383509731491E-8,3.00927279485884E-10
296,9124,5.49499379095315E-8,3.01616737369885E-10
296,9124.01,5.49638172817248E-8,3.01972961606972E-10
296,9124.02,5.49765912993228E-8,3.02190409637056E-10
296,9124.03,5.49856473192484E-8,3.02381412120274E-10
296,9124.04,5.49928921070127E-8,3.02607605250025E-10
296,9124.05,5.50016686377181E-8,3.02798637491334E-10
296,9124.06,5.50123902495156E-8,3.02922591470216E-10
296,9124.07,5.5024032271882E-8,3.02985152617586E-10
296,9124.08,5.50334833310766E-8,3.03016296744649E-10
296,9124.09,5.50396099794555E-8,3.03122958616768E-10
296,9124.1,5.50424655890814E-8,3.03283957648278E-10
296,9124.11,5.50455432713996E-8,3.03393630096576E-10
296,9124.12,5.50520559864609E-8,3.03392331908371E-10
